Date,Signal,Entry,Exit,Quantity,PnL,PnL%,Balance
2026-07-18 22:30:05,SELL_TP,64057.3,64201.23,1.389519,200.0,0.22,9029.07
2026-07-18 23:30:18,BUY,64482.87,0,0.863681,0,0.0,9229.07
2026-07-19 10:12:34,SELL_TP,64482.87,64714.44,0.863681,200.0,0.36,9429.07
2026-07-19 16:40:43,SELL,64602.0,0,0.879069,0,0.0,9429.07
2026-07-19 18:28:31,BUY_TP,64602.0,64374.49,0.879069,200.0,0.35,9629.07
2026-07-19 18:42:20,SELL,64350.02,0,0.717358,0,0.0,9629.07
2026-07-19 19:27:22,BUY_SL,64350.02,64349.52,0.717358,-0.36,-0.0,9628.71
2026-07-19 23:42:21,SELL,64470.96,0,0.542683,0,0.0,9628.71
2026-07-20 11:32:57,BUY_TP,64470.96,64102.42,0.542683,200.0,0.57,9828.71
2026-07-20 11:48:30,SELL,64152.58,0,0.349201,0,0.0,9828.71
2026-07-20 13:05:06,BUY_SL,64152.58,64152.08,0.349201,-0.17,-0.0,9828.54
2026-07-20 13:20:08,SELL,64207.27,0,0.355112,0,0.0,9828.54
2026-07-20 14:06:39,BUY_SL,64207.27,64206.77,0.355112,-0.18,-0.0,9828.36
2026-07-20 17:39:51,BUY,64865.79,0,0.315154,0,0.0,9828.36
2026-07-20 23:29:36,SELL_TP,64865.79,65500.4,0.315154,200.0,0.98,10028.36
2026-07-20 23:44:38,BUY,65764.14,0,0.285937,0,0.0,10028.36
2026-07-21 18:06:07,SELL_TP,65764.14,66463.59,0.285937,200.0,1.06,10228.36
2026-07-21 18:36:37,BUY,66549.37,0,0.534327,0,0.0,10228.36
2026-07-21 19:21:42,SELL_SL,66549.37,66362.22,0.534327,-100.0,-0.28,10128.36
2026-07-22 09:33:30,SELL,66256.0,0,0.526415,0,0.0,10128.36
2026-07-22 12:05:12,BUY_TP,66256.0,65876.07,0.526415,200.0,0.57,10328.36
2026-07-22 12:20:16,SELL,65924.85,0,0.511689,0,0.0,10328.36
2026-07-22 13:36:53,BUY_SL,65924.85,65924.35,0.511689,-0.26,-0.0,10328.1
2026-07-23 09:26:49,SELL,65650.28,0,0.539308,0,0.0,10328.1
2026-07-23 11:01:02,BUY_SL,65650.28,65649.78,0.539308,-0.27,-0.0,10327.83
2026-07-23 12:42:29,SELL,65354.02,0,0.522102,0,0.0,10327.83
2026-07-23 13:42:32,BUY_SL,65354.02,65545.55,0.522102,-100.0,-0.29,10227.83
2026-07-23 13:46:10,SELL,65519.93,0,0.587969,0,0.0,10227.83
2026-07-23 14:42:37,BUY_SL,65519.93,65519.43,0.587969,-0.29,-0.0,10227.54
2026-07-23 17:16:18,SELL,65558.01,0,0.727471,0,0.0,10227.54
2026-07-23 18:12:47,BUY_TP,65558.01,65283.08,0.727471,200.0,0.42,10427.54
2026-07-24 09:46:57,BUY,65368.97,0,0.540269,0,0.0,10427.54
2026-07-24 12:49:13,SELL_TP,65368.97,65739.16,0.540269,200.0,0.57,10627.54
2026-07-24 13:04:44,BUY,65585.0,0,0.511308,0,0.0,10627.54
2026-07-24 13:04:44,BUY,65585.0,0,0.511308,0,0.0,10627.54
2026-07-24 13:20:14,SELL_SL,65585.0,65389.42,0.511308,-100.0,-0.3,10527.54
2026-07-24 13:20:14,SELL_SL,65585.0,65389.42,0.511308,-100.0,-0.3,10427.54
2026-07-24 15:51:57,SELL,64990.01,0,0.497172,0,0.0,10427.54
2026-07-24 17:53:03,BUY_SL,64990.01,64989.51,0.497172,-0.25,-0.0,10427.29
2026-07-24 17:53:03,BUY_SL,64990.01,64989.51,0.497172,-0.25,-0.0,10427.04
2026-07-25 11:32:07,SELL,64027.32,0,1.081822,0,0.0,10427.04
2026-07-25 15:34:44,BUY_SL,64027.32,63950.25,1.081822,-83.38,-0.12,10343.67
2026-07-25 15:34:44,BUY_SL,64027.32,63950.25,1.081822,-83.38,-0.12,10260.29
2026-08-02 09:28:36,BUY,63445.99,0,0.586736,0,0.0,10260.29
2026-08-02 11:12:38,SELL_SL,63445.99,63446.49,0.586736,-0.29,-0.0,10260.0
